### Données de consommation de carburant pour divers types de
### voitures.
###
### mpg: consommation de carburant en milles par gallon
### nbcyl: nombre de cylindres
### cylindree: cylindrée du moteur, en pouces cubes;
### cv: puissance en chevaux vapeurs;
### poids: poids de la voiture en milliers de livres.
###
### Source: Abraham & Ledolter (1983)
mpg  nbcyl  cylindree    cv     poids
16.9    8       350     155     4.360
15.5    8       351     142     4.054
19.2    8       267     125     3.605
18.5    8       360     150     3.940
30.0    4       98      68      2.155
27.5    4       134     95      2.560
27.2    4       119     97      2.300
30.9    4       105     75      2.230
20.3    5       131     103     2.830
17.0    6       163     125     3.140
21.6    4       121     115     2.795
16.2    6       163     133     3.410
20.6    6       231     105     3.380
20.8    6       200     85      3.070
18.6    6       225     110     3.620
18.1    6       258     120     3.410
17.0    8       305     130     3.840
17.6    8       302     129     3.725
16.5    8       351     138     3.955
18.2    8       318     135     3.830
26.5    4       140     88      2.585
21.9    6       171     109     2.910
34.1    4       86      65      1.975
35.1    4       98      80      1.915
27.4    4       121     80      2.670
31.5    4       89      71      1.990
29.5    4       98      68      2.135
28.4    4       151     90      2.670
28.8    6       173     115     2.595
26.8    6       173     115     2.700
33.5    4       151     90      2.556
34.2    4       105     70      2.200
31.8    4       85      65      2.020
37.3    4       91      69      2.130
30.5    4       97      78      2.190
22.0    6       146     97      2.815
21.5    4       121     110     2.600
31.9    4       89      71      1.925
